Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25937a2	FR03479843	CRC0506PRX	CRC0506PR	Xenograft from primary CRC 
PD25938a	FR03483590	CRC0514PRH	CRC0514PR	Original primary CRC 
PD25938c2	FR03479851	CRC0514PRX	CRC0514PR	Xenograft from primary CRC 
PD25939a	FR03483203	CRC0287PRX	CRC0287PR	Xenograft from primary CRC 
PD25940a2	FR03480619	CRC0538LMX	CRC0538LM	Xenograft from CRC metastasis
PD25941a2	FR03479896	CRC0549LMX	CRC0549LM	Xenograft from CRC metastasis
PD25941c2	FR03479904	CRC0549PRX	CRC0549PR	Xenograft from primary CRC 
PD25942a2	FR03479878	CRC0537LMX	CRC0537LM	Xenograft from CRC metastasis
PD25943a2	FR03480611	CRC0547PRX	CRC0547PR	Xenograft from primary CRC 
PD25944a2	FR03479913	CRC0535LMX	CRC0535LM	Xenograft from CRC metastasis
PD25945a2	FR03479888	CRC0544LMX	CRC0544LM	Xenograft from CRC metastasis
PD25946a2	FR03480643	CRC0561LMX	CRC0561LM	Xenograft from CRC metastasis
PD25947a2	FR03480651	CRC0566PRX	CRC0566PR	Xenograft from primary CRC 
PD25948c2	FR03480610	CRC0560LMX	CRC0560LM	Xenograft from CRC metastasis
PD25949c2	FR03480635	CRC0553PRX	CRC0553PR	Xenograft from primary CRC 
PD25950a2	FR03480626	CRC0571PRX	CRC0571PR	Xenograft from primary CRC 
PD25951a2	FR03480652	CRC0577PRX	CRC0577PR	Xenograft from primary CRC 
PD25952a2	FR03480660	CRC0583PRX	CRC0583PR	Xenograft from primary CRC 
PD25953a2	FR03480668	CRC0592PRX	CRC0592PR	Xenograft from primary CRC 
PD25954a2	FR03480642	CRC0596PRX	CRC0596PR	Xenograft from primary CRC 
PD25955a2	FR03480612	CRC0612PRX	CRC0612PR	Xenograft from primary CRC 
PD25956a2	FR03480653	CRC0622PRX	CRC0622PR	Xenograft from primary CRC 
PD25957a2	FR03480633	CRC0666PRX	CRC0666PR	Xenograft from primary CRC 
PD25958a2	FR03480661	CRC0671PRX	CRC0671PR	Xenograft from primary CRC 
PD25959a2	FR03480647	CRC0683PRX	CRC0683PR	Xenograft from primary CRC 
PD25960a2	FR03480628	CRC0687LMX	CRC0687LM	Xenograft from CRC metastasis
PD25961a2	FR03480677	CRC0689PRX	CRC0689PR	Xenograft from primary CRC 
PD25962a	FR03483294	CRC0184LMX	CRC0184LM	Xenograft from CRC metastasis
PD25963a	FR03484017	CRC0435LMX	CRC0435LM	Xenograft from CRC metastasis
PD25964a2	FR03479845	CRC0499LMX	CRC0499LM	Xenograft from CRC metastasis
PD25965a2	FR03479877	CRC0507LMX	CRC0507LM	Xenograft from CRC metastasis
PD25966a2	FR03479917	CRC0517LMX	CRC0517LM	Xenograft from CRC metastasis
PD25967a2	FR03479862	CRC0528LMX	CRC0528LM	Xenograft from CRC metastasis
PD25968a	FR03482927	CRC0345LMX	CRC0345LM	Xenograft from CRC metastasis
PD25969a	FR03483594	CRC0063LMX	CRC0063LM	Xenograft from CRC metastasis
PD25970a	FR03482998	CRC0129LMX	CRC0129LM	Xenograft from CRC metastasis
PD25971a	FR03483277	CRC0141LMX	CRC0141LM	Xenograft from CRC metastasis
PD25972a	FR03483225	CRC0149LMX	CRC0149LM	Xenograft from CRC metastasis
PD25973a	FR03482937	CRC0176LMX	CRC0176LM	Xenograft from CRC metastasis
PD25974a	FR03483254	CRC0243LMX	CRC0243LM	Xenograft from CRC metastasis
PD25975a2	FR03479868	CRC0119LMX	CRC0119LM	Xenograft from CRC metastasis
PD25976a	FR03483271	CRC0175LMX	CRC0175LM	Xenograft from CRC metastasis
PD25977a	FR03483289	CRC0157LMX	CRC0157LM	Xenograft from CRC metastasis
PD25979a2	FR03480514	CRC0076LMX	CRC0076LM	Xenograft from CRC metastasis
PD25980a2	FR03479871	CRC0131LMX	CRC0131LM	Xenograft from CRC metastasis
PD25981a	FR03483607	CRC0162LMH	CRC0162LM	Original CRC metastasis
PD25981c	FR03483223	CRC0162LMX	CRC0162LM	Xenograft from CRC metastasis
PD25982a	FR03483215	CRC0159LMX	CRC0159LM	Xenograft from CRC metastasis
PD25983a	FR03483268	CRC0105LMX	CRC0105LM	Xenograft from CRC metastasis
PD25985a	FR03483238	CRC0156LMX	CRC0156LM	Xenograft from CRC metastasis
PD25986a	FR03483603	CRC0174LMX	CRC0174LM	Xenograft from CRC metastasis
